settlement_id	languages	names_ara_common	names_ara_common_other	names_ara_search	names_ara_translit	names_ara_translit_other	names_eng_common	names_eng_common_other	names_eng_search	names_eng_translit	names_eng_translit_other	region_URI	source	top_type	coordinates
ROUTPOINT0208_407E371N_O	['ara', 'eng']	RoutPoint0208	RoutPoint0208	RoutPoint0208					RoutPoint0208	RoutPoint0208	RoutPoint0208	Aqur_RE	cornuData	xroads	[40.70137, 37.14172]
ROUTPOINT0202_416E343N_O	['ara', 'eng']	RoutPoint0202	RoutPoint0202	RoutPoint0202					RoutPoint0202	RoutPoint0202	RoutPoint0202	Aqur_RE	cornuData	xroads	[41.61558, 34.39315]
ROUTPOINT0201_421E342N_O	['ara', 'eng']	RoutPoint0201	RoutPoint0201	RoutPoint0201					RoutPoint0201	RoutPoint0201	RoutPoint0201	Aqur_RE	cornuData	xroads	[42.1348, 34.26758]
ROUTPOINT0806_425E170N_O	['ara', 'eng']	RoutPoint0806	RoutPoint0806	RoutPoint0806					RoutPoint0806	RoutPoint0806	RoutPoint0806	Yaman_RE	cornuData	xroads	[42.55098, 17.00988]
ROUTPOINT0805_427E167N_O	['ara', 'eng']	RoutPoint0805	RoutPoint0805	RoutPoint0805					RoutPoint0805	RoutPoint0805	RoutPoint0805	Yaman_RE	cornuData	xroads	[42.71626, 16.7776]
ROUTPOINT0804_428E164N_O	['ara', 'eng']	RoutPoint0804	RoutPoint0804	RoutPoint0804					RoutPoint0804	RoutPoint0804	RoutPoint0804	Yaman_RE	cornuData	xroads	[42.81942, 16.45034]
ROUTPOINT0709_428E238N_O	['ara', 'eng']	RoutPoint0709	RoutPoint0709	RoutPoint0709					RoutPoint0709	RoutPoint0709	RoutPoint0709	JaziratArab_RE	cornuData	xroads	[42.87282, 23.80557]
ROUTPOINT0211_430E389N_O	['ara', 'eng']	RoutPoint0211	RoutPoint0211	RoutPoint0211					RoutPoint0211	RoutPoint0211	RoutPoint0211	Rihab_RE	cornuData	xroads	[43.09565, 38.97385]
ROUTPOINT0803_431E161N_O	['ara', 'eng']	RoutPoint0803	RoutPoint0803	RoutPoint0803					RoutPoint0803	RoutPoint0803	RoutPoint0803	Yaman_RE	cornuData	xroads	[43.12845, 16.10818]
ROUTPOINT0710_439E260N_O	['ara', 'eng']	RoutPoint0710	RoutPoint0710	RoutPoint0710					RoutPoint0710	RoutPoint0710	RoutPoint0710	BadiyatArab_RE	cornuData	xroads	[43.91699, 26.07604]
ROUTPOINT0802_442E148N_O	['ara', 'eng']	RoutPoint0802	RoutPoint0802	RoutPoint0802					RoutPoint0802	RoutPoint0802	RoutPoint0802	Yaman_RE	cornuData	xroads	[44.26913, 14.88867]
ROUTPOINT0801_443E143N_O	['ara', 'eng']	RoutPoint0801	RoutPoint0801	RoutPoint0801					RoutPoint0801	RoutPoint0801	RoutPoint0801	Yaman_RE	cornuData	xroads	[44.37876, 14.31533]
ROUTPOINT1606_449E381N_O	['ara', 'eng']	RoutPoint1606	RoutPoint1606	RoutPoint1606					RoutPoint1606	RoutPoint1606	RoutPoint1606	Rihab_RE	cornuData	xroads	[44.90509, 38.13725]
ROUTPOINT1607_450E375N_O	['ara', 'eng']	RoutPoint1607	RoutPoint1607	RoutPoint1607					RoutPoint1607	RoutPoint1607	RoutPoint1607	Rihab_RE	cornuData	xroads	[45.04559, 37.55636]
ROUTPOINT0301_457E325N_O	['ara', 'eng']	RoutPoint0301	RoutPoint0301	RoutPoint0301					RoutPoint0301	RoutPoint0301	RoutPoint0301	Iraq_RE	cornuData	xroads	[45.74661, 32.54476]
ROUTPOINT1608_458E375N_O	['ara', 'eng']	RoutPoint1608	RoutPoint1608	RoutPoint1608					RoutPoint1608	RoutPoint1608	RoutPoint1608	Rihab_RE	cornuData	xroads	[45.87267, 37.58893]
ROUTPOINT1605_458E382N_O	['ara', 'eng']	RoutPoint1605	RoutPoint1605	RoutPoint1605					RoutPoint1605	RoutPoint1605	RoutPoint1605	Rihab_RE	cornuData	xroads	[45.88063, 38.29658]
ROUTPOINT1609_461E372N_O	['ara', 'eng']	RoutPoint1609	RoutPoint1609	RoutPoint1609					RoutPoint1609	RoutPoint1609	RoutPoint1609	Rihab_RE	cornuData	xroads	[46.14572, 37.20353]
ROUTPOINT1601_463E357N_O	['ara', 'eng']	RoutPoint1601	RoutPoint1601	RoutPoint1601					RoutPoint1601	RoutPoint1601	RoutPoint1601	NoRegion	cornuData	xroads	[46.37005, 35.79772]
ROUTPOINT1802_466E437N_O	['ara', 'eng']	RoutPoint1802	RoutPoint1802	RoutPoint1802					RoutPoint1802	RoutPoint1802	RoutPoint1802	Khazar_RE	cornuData	xroads	[46.64954, 43.73871]
ROUTPOINT1801_471E433N_O	['ara', 'eng']	RoutPoint1801	RoutPoint1801	RoutPoint1801					RoutPoint1801	RoutPoint1801	RoutPoint1801	Khazar_RE	cornuData	xroads	[47.11116, 43.32408]
ROUTPOINT1612_471E405N_O	['ara', 'eng']	RoutPoint1612	RoutPoint1612	RoutPoint1612					RoutPoint1612	RoutPoint1612	RoutPoint1612	Rihab_RE	cornuData	xroads	[47.19945, 40.52049]
ROUTPOINT0302_474E309N_O	['ara', 'eng']	RoutPoint0302	RoutPoint0302	RoutPoint0302					RoutPoint0302	RoutPoint0302	RoutPoint0302	Iraq_RE	cornuData	xroads	[47.45392, 30.90107]
ROUTPOINT1613_476E407N_O	['ara', 'eng']	RoutPoint1613	RoutPoint1613	RoutPoint1613					RoutPoint1613	RoutPoint1613	RoutPoint1613	Rihab_RE	cornuData	xroads	[47.61548, 40.73903]
ROUTPOINT0303_481E304N_O	['ara', 'eng']	RoutPoint0303	RoutPoint0303	RoutPoint0303					RoutPoint0303	RoutPoint0303	RoutPoint0303	Iraq_RE	cornuData	xroads	[48.1452, 30.44293]
ROUTPOINT0401_482E321N_O	['ara', 'eng']	RoutPoint0401	RoutPoint0401	RoutPoint0401					RoutPoint0401	RoutPoint0401	RoutPoint0401	Khuzistan_RE	cornuData	xroads	[48.22336, 32.19102]
ROUTPOINT1614_482E383N_O	['ara', 'eng']	RoutPoint1614	RoutPoint1614	RoutPoint1614					RoutPoint1614	RoutPoint1614	RoutPoint1614	Rihab_RE	cornuData	xroads	[48.28798, 38.37865]
ROUTPOINT1616_483E378N_O	['ara', 'eng']	RoutPoint1616	RoutPoint1616	RoutPoint1616					RoutPoint1616	RoutPoint1616	RoutPoint1616	Rihab_RE	cornuData	xroads	[48.33669, 37.87282]
ROUTPOINT0509_486E344N_O	['ara', 'eng']	RoutPoint0509	RoutPoint0509	RoutPoint0509					RoutPoint0509	RoutPoint0509	RoutPoint0509	Jibal_RE	cornuData	xroads	[48.616, 34.4835]
ROUTPOINT1615_487E406N_O	['ara', 'eng']	RoutPoint1615	RoutPoint1615	RoutPoint1615					RoutPoint1615	RoutPoint1615	RoutPoint1615	Rihab_RE	cornuData	xroads	[48.72306, 40.66162]
ROUTPOINT0503_491E354N_O	['ara', 'eng']	RoutPoint0503	RoutPoint0503	RoutPoint0503					RoutPoint0503	RoutPoint0503	RoutPoint0503	Jibal_RE	cornuData	xroads	[49.11483, 35.49041]
ROUTPOINT0510_491E340N_O	['ara', 'eng']	RoutPoint0510	RoutPoint0510	RoutPoint0510					RoutPoint0510	RoutPoint0510	RoutPoint0510	Jibal_RE	cornuData	xroads	[49.1718, 34.04348]
ROUTPOINT0502_492E356N_O	['ara', 'eng']	RoutPoint0502	RoutPoint0502	RoutPoint0502					RoutPoint0502	RoutPoint0502	RoutPoint0502	Jibal_RE	cornuData	xroads	[49.24766, 35.67123]
ROUTPOINT1619_495E359N_O	['ara', 'eng']	RoutPoint1619	RoutPoint1619	RoutPoint1619					RoutPoint1619	RoutPoint1619	RoutPoint1619	Jibal_RE	cornuData	xroads	[49.57716, 35.98341]
ROUTPOINT0402_497E312N_O	['ara', 'eng']	RoutPoint0402	RoutPoint0402	RoutPoint0402					RoutPoint0402	RoutPoint0402	RoutPoint0402	Khuzistan_RE	cornuData	xroads	[49.7034, 31.28389]
ROUTPOINT1803_499E530N_O	['ara', 'eng']	RoutPoint1803	RoutPoint1803	RoutPoint1803					RoutPoint1803	RoutPoint1803	RoutPoint1803	Khazar_RE	cornuData	xroads	[49.98817, 53.02226]
